# id	название	описание — русский перевод CWE (MITRE cwec_v4.14)
34	Обход пути: '....//'	Продукт строит путь, который должен оставаться внутри ограниченного каталога, из внешнего ввода, но не нейтрализует последовательности '....//' (удвоенные «../»), выводящие за пределы этого каталога.
35	Обход пути: '.../...//'	Продукт строит путь, который должен оставаться внутри ограниченного каталога, из внешнего ввода, но не нейтрализует последовательности '.../...//' (удвоенные тройные точки со слэшем), выводящие за пределы этого каталога.
36	Обход пути через абсолютный путь	Продукт строит путь, который должен оставаться внутри ограниченного каталога, из внешнего ввода, но не нейтрализует абсолютные пути вроде «/abs/path», указывающие за пределы этого каталога.
37	Обход пути: '/absolute/pathname/here'	Продукт принимает абсолютный путь через прямой слэш ('/absolute/pathname/here') без должной проверки, что позволяет атакующему выйти в непредусмотренные места файловой системы или получить доступ к произвольным файлам.
38	Обход пути: '\absolute\pathname\here'	Продукт принимает абсолютный путь через обратный слэш ('\absolute\pathname\here') без должной проверки, что позволяет атакующему выйти в непредусмотренные места файловой системы или получить доступ к произвольным файлам.
39	Обход пути: 'C:dirname'	Продукт принимает ввод с буквой диска или тома Windows ('C:dirname'), который может перенаправить доступ в непредусмотренное место или к произвольному файлу.
40	Обход пути: '\\UNC\share\name\' (UNC-шара Windows)	Продукт принимает ввод, указывающий на UNC-ресурс Windows ('\\UNC\share\name'), который может перенаправить доступ в непредусмотренное место или к произвольному файлу.
41	Некорректное разрешение эквивалентных путей	Продукт уязвим к раскрытию содержимого файловой системы через эквивалентность путей. Эквивалентность путей использует специальные символы в именах файлов и каталогов, чтобы получить несколько имён для одного объекта.
42	Эквивалентность путей: 'filename.' (точка в конце)	Продукт принимает путь с точкой в конце ('filedir.') без должной проверки, что ведёт к неоднозначному разрешению пути и позволяет выйти в непредусмотренные места файловой системы или получить доступ к произвольным файлам.
43	Эквивалентность путей: 'filename....' (несколько точек в конце)	Продукт принимает путь с несколькими точками в конце ('filedir....') без должной проверки, что ведёт к неоднозначному разрешению пути и позволяет выйти в непредусмотренные места файловой системы или получить доступ к произвольным файлам.
44	Эквивалентность путей: 'file.name' (точка внутри)	Продукт принимает путь с точкой внутри имени ('file.ordir') без должной проверки, что ведёт к неоднозначному разрешению пути и позволяет выйти в непредусмотренные места файловой системы или получить доступ к произвольным файлам.
45	Эквивалентность путей: 'file...name' (несколько точек внутри)	Продукт принимает путь с несколькими точками внутри имени ('file...dir') без должной проверки, что ведёт к неоднозначному разрешению пути и позволяет выйти в непредусмотренные места файловой системы или получить доступ к произвольным файлам.
46	Эквивалентность путей: 'filename ' (пробел в конце)	Продукт принимает путь с пробелом в конце ('filedir ') без должной проверки, что ведёт к неоднозначному разрешению пути и позволяет выйти в непредусмотренные места файловой системы или получить доступ к произвольным файлам.
47	Эквивалентность путей: ' filename' (пробел в начале)	Продукт принимает путь с пробелом в начале (' filedir') без должной проверки, что ведёт к неоднозначному разрешению пути и позволяет выйти в непредусмотренные места файловой системы или получить доступ к произвольным файлам.
48	Эквивалентность путей: 'file name' (пробел внутри)	Продукт принимает путь с пробелом внутри имени ('file(SPACE)name') без должной проверки, что ведёт к неоднозначному разрешению пути и позволяет выйти в непредусмотренные места файловой системы или получить доступ к произвольным файлам.
49	Эквивалентность путей: 'filename/' (слэш в конце)	Продукт принимает путь со слэшем в конце ('filedir/') без должной проверки, что ведёт к неоднозначному разрешению пути и позволяет выйти в непредусмотренные места файловой системы или получить доступ к произвольным файлам.
50	Эквивалентность путей: '//multiple/leading/slash'	Продукт принимает путь с несколькими ведущими слэшами ('//multiple/leading/slash') без должной проверки, что ведёт к неоднозначному разрешению пути и позволяет выйти в непредусмотренные места файловой системы или получить доступ к произвольным файлам.
51	Эквивалентность путей: '/multiple//internal/slash'	Продукт принимает путь с несколькими слэшами внутри ('/multiple//internal/slash/') без должной проверки, что ведёт к неоднозначному разрешению пути и позволяет выйти в непредусмотренные места файловой системы или получить доступ к произвольным файлам.
52	Эквивалентность путей: '/multiple/trailing/slash//'	Продукт принимает путь с несколькими слэшами в конце ('/multiple/trailing/slash//') без должной проверки, что ведёт к неоднозначному разрешению пути и позволяет выйти в непредусмотренные места файловой системы или получить доступ к произвольным файлам.
53	Эквивалентность путей: '\multiple\\internal\backslash'	Продукт принимает путь с несколькими обратными слэшами внутри ('\multiple\trailing\\slash') без должной проверки, что ведёт к неоднозначному разрешению пути и позволяет выйти в непредусмотренные места файловой системы или получить доступ к произвольным файлам.
54	Эквивалентность путей: 'filedir\' (обратный слэш в конце)	Продукт принимает путь с обратным слэшем в конце ('filedir\') без должной проверки, что ведёт к неоднозначному разрешению пути и позволяет выйти в непредусмотренные места файловой системы или получить доступ к произвольным файлам.
55	Эквивалентность путей: '/./' (каталог «точка»)	Продукт принимает путь с каталогом из одной точки ('/./') без должной проверки, что ведёт к неоднозначному разрешению пути и позволяет выйти в непредусмотренные места файловой системы или получить доступ к произвольным файлам.
56	Эквивалентность путей: 'filedir*' (подстановочный знак)	Продукт принимает путь со звёздочкой ('filedir*') без должной проверки, что ведёт к неоднозначному разрешению пути и позволяет выйти в непредусмотренные места файловой системы или получить доступ к произвольным файлам.
57	Эквивалентность путей: 'fakedir/../realdir/filename'	В продукте есть защита, ограничивающая доступ к 'realdir/filename', но он строит пути из внешнего ввода вида 'fakedir/../realdir/filename', которые эта защита не обрабатывает. Это позволяет выполнять неавторизованные действия с целевым файлом.
58	Эквивалентность путей: короткие имена Windows 8.3	В продукте есть защита, ограничивающая доступ к длинному имени файла в Windows, но она не ограничивает доступ к эквивалентному короткому имени формата «8.3».
59	Некорректное разрешение ссылок перед доступом к файлу («Link Following»)	Продукт обращается к файлу по имени, но не предотвращает ситуацию, когда это имя указывает на ссылку или ярлык, ведущие к непредусмотренному ресурсу.
61	Переход по символической ссылке UNIX (symlink)	При открытии файла или каталога продукт не учитывает, что это может быть символическая ссылка на цель вне предусмотренной зоны контроля. Это позволяет заставить продукт работать с неавторизованными файлами.
62	Жёсткая ссылка UNIX	При открытии файла или каталога продукт не учитывает, что имя может быть жёсткой ссылкой на цель вне предусмотренной зоны контроля. Это позволяет заставить продукт работать с неавторизованными файлами.
64	Переход по ярлыку Windows (.LNK)	При открытии файла или каталога продукт не обрабатывает случай, когда файл является ярлыком Windows (.LNK) с целью вне предусмотренной зоны контроля. Это позволяет заставить продукт работать с неавторизованными файлами.
65	Жёсткая ссылка Windows	При открытии файла или каталога продукт не обрабатывает случай, когда имя является жёсткой ссылкой на цель вне предусмотренной зоны контроля. Это позволяет заставить продукт работать с неавторизованными файлами.
66	Некорректная обработка имён файлов, указывающих на виртуальные ресурсы	Продукт не обрабатывает или неправильно обрабатывает имя файла, указывающее на «виртуальный» ресурс, которого нет непосредственно в соответствующем каталоге, и выполняет файловые операции над ресурсом, не являющимся файлом.
67	Некорректная обработка имён устройств Windows	Продукт строит пути из пользовательского ввода, но не обрабатывает или неправильно обрабатывает пути с именами устройств Windows, такими как AUX или CON. Обычно это ведёт к отказу в обслуживании или раскрытию информации, когда приложение пытается обработать путь как обычный файл.
69	Некорректная обработка альтернативных потоков данных Windows ::DATA	Продукт не предотвращает доступ к альтернативным потокам данных (ADS) и не обнаруживает их использование.
72	Некорректная обработка путей к альтернативным потокам Apple HFS+	Продукт некорректно обрабатывает специальные пути, которые могут указывать на ветвь данных или ресурсов файла в файловой системе HFS+.
73	Внешнее управление именем файла или путём	Продукт позволяет пользовательскому вводу управлять путями или именами файлов, используемыми в операциях с файловой системой, или влиять на них.
74	Некорректная нейтрализация спецэлементов в выводе для нижестоящего компонента («Injection»)	Продукт строит команду, структуру данных или запись целиком или частично из внешнего ввода, но не нейтрализует или неправильно нейтрализует специальные элементы, которые могут изменить разбор или интерпретацию при передаче нижестоящему компоненту.
75	Отсутствие очистки спецэлементов для другого уровня (Special Element Injection)	Продукт недостаточно фильтрует управляемый пользователем ввод от специальных элементов, имеющих управляющее значение.
76	Некорректная нейтрализация эквивалентных спецэлементов	Продукт корректно нейтрализует некоторые специальные элементы, но неправильно нейтрализует эквивалентные им элементы.
77	Некорректная нейтрализация спецэлементов в команде («Command Injection»)	Продукт строит команду целиком или частично из внешнего ввода, но не нейтрализует или неправильно нейтрализует специальные элементы, которые могут изменить команду при передаче нижестоящему компоненту.
78	Некорректная нейтрализация спецэлементов в команде ОС («OS Command Injection»)	Продукт строит команду операционной системы целиком или частично из внешнего ввода, но не нейтрализует или неправильно нейтрализует специальные элементы, которые могут изменить команду ОС при передаче нижестоящему компоненту.
79	Некорректная нейтрализация ввода при генерации веб-страницы («Cross-site Scripting»)	Продукт не нейтрализует или неправильно нейтрализует управляемый пользователем ввод перед тем, как поместить его в веб-страницу, которая отдаётся другим пользователям.
80	Некорректная нейтрализация HTML-тегов со скриптами на веб-странице (базовый XSS)	Продукт получает ввод от вышестоящего компонента, но не нейтрализует или неправильно нейтрализует символы «<», «>» и «&», которые могут быть интерпретированы как элементы веб-скриптов нижестоящим компонентом, обрабатывающим веб-страницы.
81	Некорректная нейтрализация скрипта на странице с сообщением об ошибке	Продукт получает ввод от вышестоящего компонента, но не нейтрализует или неправильно нейтрализует специальные символы, которые могут быть интерпретированы как элементы веб-скриптов при выводе на страницу ошибки.
82	Некорректная нейтрализация скрипта в атрибутах тегов IMG	Веб-приложение не нейтрализует или неправильно нейтрализует скриптовые элементы в атрибутах HTML-тегов IMG, например в атрибуте src.
83	Некорректная нейтрализация скрипта в атрибутах на веб-странице	Продукт не нейтрализует или неправильно нейтрализует URI «javascript:» и другие опасные URI в атрибутах тегов, таких как onmouseover, onload, onerror или style.
84	Некорректная нейтрализация закодированных URI-схем на веб-странице	Веб-приложение неправильно нейтрализует пользовательский ввод с исполняемым скриптом, замаскированным URI-кодированием.
85	XSS через удвоение символов	Веб-приложение не фильтрует пользовательский ввод с исполняемым скриптом, замаскированным удвоением символов.
86	Некорректная нейтрализация недопустимых символов в идентификаторах на веб-страницах	Продукт не нейтрализует или неправильно нейтрализует недопустимые символы или последовательности байт внутри имён тегов, URI-схем и других идентификаторов.
87	Некорректная нейтрализация альтернативного синтаксиса XSS	Продукт не нейтрализует или неправильно нейтрализует пользовательский ввод с альтернативным синтаксисом скриптов.
88	Некорректная нейтрализация разделителей аргументов в команде («Argument Injection»)	Продукт формирует строку команды для выполнения отдельным компонентом в другой зоне контроля, но не разграничивает должным образом аргументы, опции или ключи внутри этой строки.
89	Некорректная нейтрализация спецэлементов в SQL-команде («SQL Injection»)	Продукт строит SQL-команду целиком или частично из внешнего ввода, но не нейтрализует или неправильно нейтрализует специальные элементы, которые могут изменить SQL-команду при передаче нижестоящему компоненту.
90	Некорректная нейтрализация спецэлементов в LDAP-запросе («LDAP Injection»)	Продукт строит LDAP-запрос целиком или частично из внешнего ввода, но не нейтрализует или неправильно нейтрализует специальные элементы, которые могут изменить LDAP-запрос при передаче нижестоящему компоненту.
91	XML-инъекция (слепая XPath-инъекция)	Продукт не нейтрализует специальные элементы XML, что позволяет атакующему изменить синтаксис, содержимое или команды XML до его обработки конечной системой.
93	Некорректная нейтрализация последовательностей CRLF («CRLF Injection»)	Продукт использует CRLF (возврат каретки и перевод строки) как специальный элемент, например для разделения строк или записей, но не нейтрализует или неправильно нейтрализует последовательности CRLF во входных данных.
94	Некорректный контроль генерации кода («Code Injection»)	Продукт строит фрагмент кода целиком или частично из внешнего ввода, но не нейтрализует или неправильно нейтрализует специальные элементы, которые могут изменить синтаксис или поведение этого кода.
95	Некорректная нейтрализация директив в динамически вычисляемом коде («Eval Injection»)	Продукт получает ввод от вышестоящего компонента, но не нейтрализует или неправильно нейтрализует синтаксис кода перед использованием ввода в динамическом вычислении (например, «eval»).
96	Некорректная нейтрализация директив в статически сохраняемом коде («Static Code Injection»)	Продукт получает ввод от вышестоящего компонента, но не нейтрализует или неправильно нейтрализует синтаксис кода перед вставкой ввода в исполняемый ресурс: библиотеку, конфигурационный файл или шаблон.
97	Некорректная нейтрализация Server-Side Includes (SSI) на веб-странице	Продукт генерирует веб-страницу, но не нейтрализует или неправильно нейтрализует пользовательский ввод, который может быть интерпретирован как директива SSI.
98	Некорректный контроль имени файла в include/require в PHP («PHP Remote File Inclusion»)	PHP-приложение получает ввод от вышестоящего компонента, но не ограничивает или неправильно ограничивает его перед использованием в «require», «include» или похожих функциях.
99	Некорректный контроль идентификаторов ресурсов («Resource Injection»)	Продукт получает ввод от вышестоящего компонента, но не ограничивает или неправильно ограничивает его перед использованием в качестве идентификатора ресурса, который может находиться вне предусмотренной зоны контроля.
102	Struts: дублирующиеся формы валидации	Продукт использует несколько форм валидации с одинаковым именем, из-за чего Struts Validator может проверять не ту форму, которую ожидает программист.
103	Struts: неполное определение метода validate()	В продукте есть форма валидатора, которая либо не определяет метод validate(), либо определяет его, но не вызывает super.validate().
104	Struts: form bean не наследует класс валидации	Если form bean не наследует подкласс ActionForm фреймворка Validator, приложение может оказаться уязвимым к слабостям, связанным с недостаточной проверкой ввода.
105	Struts: поле формы без валидатора	В продукте есть поле формы, которое не проверяется соответствующей формой валидации, что может привести к слабостям, связанным с недостаточной проверкой ввода.
106	Struts: фреймворк плагинов не используется	Когда приложение не использует фреймворк проверки ввода, такой как Struts Validator, выше риск слабостей, связанных с недостаточной проверкой ввода.
107	Struts: неиспользуемая форма валидации	Неиспользуемая форма валидации говорит о том, что логика проверки устарела.
108	Struts: непроверяемая Action Form	Каждая Action Form должна иметь соответствующую форму валидации.
109	Struts: валидатор отключён	Автоматическая фильтрация через Struts bean отключена, что выключает Struts Validator и собственную логику проверки. Приложение становится уязвимым к слабостям, связанным с недостаточной проверкой ввода.
110	Struts: валидатор без поля формы	Поля валидации, которых нет в связанных формах, говорят о том, что логика проверки устарела.
111	Прямое использование небезопасного JNI	Когда Java-приложение через Java Native Interface (JNI) вызывает код на другом языке, оно может унаследовать слабости этого кода, даже если в Java такие слабости невозможны.
112	Отсутствие проверки XML	Продукт принимает XML из недоверенного источника, но не проверяет его по соответствующей схеме.
113	Некорректная нейтрализация CRLF в HTTP-заголовках («HTTP Request/Response Splitting»)	Продукт получает данные от HTTP-агента или компонента (веб-сервера, прокси, браузера и т. п.), но не нейтрализует или неправильно нейтрализует символы CR и LF перед включением данных в исходящие HTTP-заголовки.
114	Управление процессом	Выполнение команд или загрузка библиотек из недоверенного источника или в недоверенной среде может заставить приложение выполнить вредоносные команды (и полезные нагрузки) от имени атакующего.
115	Неверная интерпретация ввода	Продукт неверно интерпретирует ввод от атакующего или другого продукта, и это влияет на безопасность.
116	Некорректное кодирование или экранирование вывода	Продукт готовит структурированное сообщение для другого компонента, но кодирование или экранирование данных отсутствует или выполнено неправильно. В результате задуманная структура сообщения не сохраняется.
117	Некорректная нейтрализация вывода в логи	Продукт не нейтрализует или неправильно нейтрализует данные, записываемые в логи.
118	Некорректный доступ к индексируемому ресурсу («Range Error»)	Продукт не ограничивает или неправильно ограничивает операции границами ресурса, доступ к которому идёт по индексу или указателю, например памяти или файлов.
119	Некорректное ограничение операций границами буфера памяти	Продукт выполняет операции с буфером памяти, но может читать или писать за пределами его предусмотренных границ.
120	Копирование буфера без проверки размера ввода («классическое переполнение буфера»)	Продукт копирует входной буфер в выходной, не проверяя, что размер входного меньше размера выходного, что ведёт к переполнению буфера.
121	Переполнение буфера в стеке	Переполнение буфера в стеке возникает, когда перезаписываемый буфер размещён в стеке (обычно это локальная переменная, реже параметр функции).
122	Переполнение буфера в куче	Переполнение кучи — это переполнение буфера, размещённого в куче, то есть обычно выделенного функцией вроде malloc().
123	Условие «запись что угодно куда угодно» (write-what-where)	Любое состояние, при котором атакующий может записать произвольное значение по произвольному адресу, часто в результате переполнения буфера.
124	Запись перед началом буфера («Buffer Underflow»)	Продукт пишет в буфер по индексу или указателю, ссылающемуся на область памяти до начала буфера.
125	Чтение за границами буфера	Продукт читает данные за концом или до начала предусмотренного буфера.
126	Чтение за концом буфера (Buffer Over-read)	Продукт читает из буфера через индексы или указатели, ссылающиеся на память после целевого буфера.
127	Чтение перед началом буфера (Buffer Under-read)	Продукт читает из буфера через индексы или указатели, ссылающиеся на память до целевого буфера.
128	Ошибка циклического переполнения (wrap-around)	Ошибка циклического переполнения возникает, когда значение увеличивается сверх максимума своего типа и «перескакивает» на очень маленькое, отрицательное или неопределённое значение.
129	Некорректная проверка индекса массива	Продукт использует недоверенный ввод при вычислении или использовании индекса массива, но не проверяет или неправильно проверяет, что индекс указывает на допустимую позицию.
